nom_candidat,parti_politique,sigle,positionnement,details_positionnement,tete_du_parti
Nathalie Arthaud,Lutte ouvrière,LO,gauche,extrême gauche,"Nathalie Arthaud et Jean-Pierre Mercier, porte-parole"
Nicolas Dupont-Aignan,Debout La France,DLF,droite,extrême droite,"Nicolas Dupont-Aignan, président"
Anne Hidalgo,Le Parti socialiste,PS,gauche,centre gauche,"Olivier Faure, premier secrétaire"
Yannick Jadot,le Pôle écologiste,aucun,gauche,gauche écologie,pas un parti mais une coalition
Emmanuel Macron,La République en Marche,"LREM, LaREM, voire REM ou LRM",droite,centre droite,"Stanislas Guerini, délégué général"
Valérie Pécresse,Les Républicains,LR,droite,centre droite,"Christian Jacob, président"
Jean Lasalle,Résistons,pas de sigle,droite,centre droite,"Jean Lassalle, président"
Marine Le Pen,Le Rassemblement national,RN,droite,extrême droite,Marine Le Pen (intérim assuré par Jordan Bardella pendant la présidentielle)
Jean-Luc Mélenchon,La France insoumise,"LFI, FI",gauche,extrême gauche,"Adrien Quatennens, coordinateur"
Philippe Poutou,Nouveau Parti anticapitaliste,NPA,gauche,extrême gauche,"Christine Poupin, porte-parole"
Fabien Roussel,Parti communiste français,PCF,gauche,extrême gauche,"Fabien Roussel, secrétaire national"
Eric Zemmour,Reconquête!,pas de sigle,droite,extrême droite,"Eric Zemmour, fondateur et président"
